Date : 2024-04-12 14:32:31
Directory : d:\Unity_Project\Sweet_Dream\Assets\Script
Total : 77 files,  155 codes, 33 comments, 20 blanks, all 208 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         77 |        155 |         33 |         20 |        208 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         77 |        155 |         33 |         20 |        208 |
| . (Files)                                                                              |         30 |     -1,117 |       -104 |       -258 |     -1,479 |
| AchievementSystem                                                                      |          2 |         98 |         11 |         24 |        133 |
| Audio                                                                                  |          1 |          1 |          0 |          2 |          3 |
| BlueLevel                                                                              |          1 |         30 |          2 |         10 |         42 |
| Boss2StateMachine                                                                      |         10 |        342 |         46 |         68 |        456 |
| Camera                                                                                 |          2 |         26 |         12 |         11 |         49 |
| Interative                                                                             |          1 |         -2 |         11 |         -4 |          5 |
| Monster                                                                                |          9 |        159 |         16 |         42 |        217 |
| Monster (Files)                                                                        |          1 |         54 |          4 |         11 |         69 |
| Monster\Boss                                                                           |          5 |         46 |          2 |         10 |         58 |
| Monster\Boss2                                                                          |          3 |         59 |         10 |         21 |         90 |
| Platforms                                                                              |          3 |         92 |         12 |         16 |        120 |
| Player                                                                                 |         10 |        214 |         22 |         35 |        271 |
| PurpleLevel                                                                            |          3 |         95 |          5 |         24 |        124 |
| SaveSystem                                                                             |          2 |        146 |          0 |         38 |        184 |
| UI                                                                                     |          3 |         71 |          0 |         12 |         83 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                               | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity_Project\Sweet_Dream\Assets\Script\Ach_WhereYouGo.cs                           | C#       |        -16 |         -2 |         -5 |        -23 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\AchievementSystem.cs                        | C#       |        -82 |         -9 |        -19 |       -110 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\AchievementSystem\Ach_WhereYouGo.cs         | C#       |         16 |          2 |          5 |         23 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\AchievementSystem\AchievementSystem.cs      | C#       |         82 |          9 |         19 |        110 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Audio\AudioManager.cs                       | C#       |          1 |          0 |          2 |          3 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Bat.cs                                      | C#       |        -54 |         -4 |        -11 |        -69 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\BeHit.cs                                    | C#       |        -16 |         -3 |         -8 |        -27 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\BlueBoxWall.cs                              | C#       |        -30 |         -2 |        -10 |        -42 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\BlueLevel\BlueBoxWall.cs                    | C#       |         30 |          2 |         10 |         42 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2LaserShoot.cs                          | C#       |        -34 |         -8 |        -14 |        -56 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\BeHit.cs                  | C#       |         16 |          3 |          8 |         27 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\BulletEffect.cs           | C#       |         13 |          1 |          3 |         17 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FireBall.cs               | C#       |         51 |          2 |          6 |         59 |
| d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FireBallManager.cs        | C#       |         21 |          0 |          3 |         24 |
