"filename", "language", "C#", "comment", "blank", "total"
"d:\Unity_Project\Sweet_Dream\Assets\Script\AchievementSystem\Ach_WhereYouGo.cs", "C#", 16, 2, 5, 23
"d:\Unity_Project\Sweet_Dream\Assets\Script\AchievementSystem\AchievementSystem.cs", "C#", 82, 9, 19, 110
"d:\Unity_Project\Sweet_Dream\Assets\Script\Audio\AudioManager.cs", "C#", 100, 2, 20, 122
"d:\Unity_Project\Sweet_Dream\Assets\Script\Audio\Sound.cs", "C#", 9, 0, 3, 12
"d:\Unity_Project\Sweet_Dream\Assets\Script\BlueLevel\BlueBoxWall.cs", "C#", 30, 2, 10, 42
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\BeHit.cs", "C#", 16, 3, 8, 27
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\BulletEffect.cs", "C#", 13, 1, 3, 17
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FSM.cs", "C#", 74, 11, 12, 97
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FireBall.cs", "C#", 51, 2, 6, 59
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FireBallManager.cs", "C#", 21, 0, 3, 24
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\FireRainAnimController.cs", "C#", 34, 5, 6, 45
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\IState.cs", "C#", 6, 0, 5, 11
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\IdleState.cs", "C#", 191, 1, 42, 234
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\LaserBarForBoss2.cs", "C#", 14, 8, 5, 27
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\LaserFirePre.cs", "C#", 63, 17, 14, 94
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\RotatePerform.cs", "C#", 69, 4, 10, 83
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\WaveAnimController.cs", "C#", 39, 4, 8, 51
"d:\Unity_Project\Sweet_Dream\Assets\Script\Boss2StateMachine\WaveCircle.cs", "C#", 22, 2, 5, 29
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\Boundary.cs", "C#", 28, 5, 6, 39
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\CameraControlTrigger.cs", "C#", 52, 0, 10, 62
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\CameraFollow.cs", "C#", 25, 3, 6, 34
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\CameraManager.cs", "C#", 167, 0, 38, 205
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\CameraMovement.cs", "C#", 26, 0, 6, 32
"d:\Unity_Project\Sweet_Dream\Assets\Script\Camera\CameraShake.cs", "C#", 41, 12, 11, 64
"d:\Unity_Project\Sweet_Dream\Assets\Script\Dialogue\DialogueManager.cs", "C#", 74, 4, 18, 96
"d:\Unity_Project\Sweet_Dream\Assets\Script\Dialogue\DialogueTrigger.cs", "C#", 40, 1, 7, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\Editor\MyScriptEditor.cs", "C#", 37, 0, 6, 43
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\ChangeGravityTrigger.cs", "C#", 34, 2, 9, 45
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\ChangeScale.cs", "C#", 37, 2, 8, 47
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\HandRotation.cs", "C#", 31, 0, 6, 37
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\Key.cs", "C#", 40, 2, 6, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\LoadScene.cs", "C#", 42, 2, 11, 55
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\SavePoint.cs", "C#", 29, 2, 10, 41
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\ShowBlocks.cs", "C#", 49, 5, 10, 64
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\Star.cs", "C#", 35, 2, 7, 44
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\Transmit.cs", "C#", 23, 0, 7, 30
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\TriggerPoint.cs", "C#", 29, 3, 4, 36
"d:\Unity_Project\Sweet_Dream\Assets\Script\Interative\hourglass.cs", "C#", 49, 11, 9, 69
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Bat.cs", "C#", 54, 4, 11, 69
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss2\Boss2.cs", "C#", 66, 2, 21, 89
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss2\Boss2LaserShoot.cs", "C#", 58, 10, 20, 88
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss2\Boss2Shooting.cs", "C#", 36, 7, 15, 58
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss2\BossWaveAttack.cs", "C#", 38, 7, 8, 53
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\Boss.cs", "C#", 124, 4, 24, 152
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossAttack.cs", "C#", 22, 11, 6, 39
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossGunAttack.cs", "C#", 35, 3, 10, 48
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossGunWalk.cs", "C#", 54, 4, 7, 65
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossHandAttack.cs", "C#", 26, 17, 12, 55
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossHandWalk.cs", "C#", 49, 12, 9, 70
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\BossShooting.cs", "C#", 48, 24, 20, 92
"d:\Unity_Project\Sweet_Dream\Assets\Script\Monster\Boss\LaserBullet.cs", "C#", 28, 3, 3, 34
